iter	Passed	Remaining
405	5847	8555
406	5859	8537
407	5871	8519
408	5884	8502
409	5893	8481
410	5906	8464
411	5918	8447
412	5930	8428
413	5942	8411
414	5955	8394
415	5970	8381
416	5988	8372
417	6002	8358
418	6016	8343
419	6029	8326
420	6041	8309
421	6054	8292
422	6066	8275
423	6078	8257
424	6090	8239
425	6102	8222
426	6114	8204
427	6125	8186
428	6137	8169
429	6152	8154
430	6167	8142
431	6185	8133
432	6198	8116
433	6213	8103
434	6226	8087
435	6241	8073
436	6254	8057
437	6270	8046
438	6286	8033
439	6304	8023
440	6323	8015
441	6342	8006
442	6356	7992
443	6368	7974
444	6383	7961
445	6397	7946
446	6409	7929
447	6419	7910
448	6432	7893
449	6445	7877
450	6458	7862
451	6471	7846
452	6487	7834
453	6505	7823
454	6518	7807
455	6530	7791
456	6545	7777
457	6560	7764
458	6574	7748
459	6586	7732
460	6599	7716
461	6611	7698
462	6623	7682
463	6637	7667
464	6649	7650
465	6665	7637
466	6681	7625
467	6695	7611
468	6711	7598
469	6725	7584
470	6738	7568
471	6747	7548
472	6759	7531
473	6772	7515
474	6785	7499
475	6798	7484
476	6810	7467
477	6823	7451
478	6835	7435
479	6847	7418
480	6861	7404
481	6875	7389
482	6887	7372
483	6900	7356
484	6914	7342
485	6928	7327
486	6942	7313
487	6954	7296
488	6967	7280
489	6982	7267
490	7000	7256
491	7017	7246
492	7030	7230
493	7040	7211
494	7057	7199
495	7070	7184
496	7080	7166
497	7092	7149
498	7105	7133
499	7117	7117
500	7129	7101
501	7142	7085
502	7153	7068
503	7166	7052
504	7178	7036
505	7190	7020
506	7202	7003
507	7214	6987
508	7231	6975
509	7249	6964
510	7269	6956
511	7284	6942
512	7296	6926
513	7309	6910
514	7321	6895
515	7333	6878
516	7346	6862
517	7365	6853
518	7381	6841
519	7396	6827
520	7411	6814
521	7424	6798
522	7437	6783
523	7450	6767
524	7462	6751
525	7475	6736
526	7489	6721
527	7501	6705
528	7514	6690
529	7525	6673
530	7538	6658
531	7552	6643
532	7567	6630
533	7579	6614
534	7593	6599
535	7605	6584
536	7620	6570
537	7633	6555
538	7647	6540
539	7659	6524
540	7671	6508
541	7685	6494
542	7696	6477
543	7708	6461
544	7720	6445
545	7735	6432
